candidate_id,years_exp,experience_score,skill_match_count,skill_coverage,title_score,education_score,location_score,product_company_score,consulting_penalty,retrieval_score,availability_score,recruitability_score,market_demand_score,trust_score,technical_credibility_score,mobility_score,days_since_active,notice_period_days,github_activity_score,avg_assessment_score,semantic_score,industry,current_role,num_ai_skills,keyword_stuffing_count,career_anomaly_raw,raw_recruiter_response_rate,raw_notice_period,raw_open_to_work,years_exp_clamped,skill_inflation,skill_inflation_norm,keyword_stuffing_norm,weak_experience_flag,keyword_stuffing_risk,low_response,long_notice,not_open,inactive,behavioral_risk,honeypot_risk,sample_source,semantic_bucket,exp_bucket,stratum
CAND_0003189,7.9,1.0,4,0.4444,0.2,2,0,0.0,0,0.2,0.0,0.313,0.2396,0.616,0.098,0.5,232,90,-1.0,0.0,0.68683755,IT Services,Project Manager,2,6,0,0.13,90,False,7.9,0.2531645569620253,0.08438818565400842,0.2608695652173913,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.22953586497890296,elite,,,
CAND_0076006,13.7,0.3,4,0.4444,0.2,2,0,0.3333333333333333,0,0.0,0.0,0.136,0.2772,0.72,0.1952,0.7,220,120,39.3,0.0,0.686676,Manufacturing,HR Manager,3,5,0,0.07,120,False,13.7,0.21897810218978103,0.07299270072992702,0.21739130434782608,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.22554744525547446,elite,,,
CAND_0048271,7.8,1.0,5,0.5556,0.2,1,0,0.3333333333333333,0,0.0,0.7000000000000001,0.308,0.2984,0.479,0.022,1.0,89,60,-1.0,0.0,0.6831527,Manufacturing,Project Manager,2,3,0,0.2,60,True,7.8,0.25641025641025644,0.08547008547008549,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02991452991452992,elite,,,
CAND_0021768,11.1,0.7,6,0.6667,0.2,1,0,0.0,0,0.2,0.55,0.315,0.3986,0.857,0.048,0.2,109,60,-1.0,0.0,0.68250555,Manufacturing,Project Manager,3,4,0,0.24,60,True,11.1,0.2702702702702703,0.0900900900900901,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.08153153153153153,elite,,,
CAND_0050679,2.3,0.3,4,0.4444,0.2,3,0,0.0,0,0.0,0.44999999999999996,0.259,0.276,0.734,0.008,0.2,40,30,-1.0,0.0,0.68222,Software,Civil Engineer,3,3,0,0.16,30,False,2.3,1.3043478260869565,0.43478260869565216,0.13043478260869565,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.25217391304347825,elite,,,
CAND_0084718,4.9,0.8,4,0.4444,0.2,3,0,0.3333333333333333,0,0.0,0.0,0.316,0.229,0.665,0.064,0.2,185,90,-1.0,0.0,0.6808511,Paper Products,HR Manager,3,3,0,0.1,90,False,4.9,0.6122448979591836,0.2040816326530612,0.13043478260869565,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2714285714285714,elite,,,
CAND_0014257,13.8,0.3,4,0.4444,0.2,2,0,0.0,0,0.0,0.4,0.555,0.2366,0.495,0.042,1.0,158,90,-1.0,0.0,0.6798438,Software,HR Manager,1,5,0,0.24,90,True,13.8,0.07246376811594203,0.024154589371980676,0.21739130434782608,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.10845410628019324,elite,,,
CAND_0011441,7.6,1.0,5,0.5556,0.2,2,0,0.0,1,0.0,0.15,0.505,0.3142,0.369,0.0968,1.0,157,60,23.2,0.0,0.67979777,IT Services,Business Analyst,0,3,0,0.28,60,False,7.6,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.1,elite,,,
CAND_0096943,12.2,0.3,6,0.6667,0.2,3,1,0.0,0,0.4,0.44999999999999996,0.537,0.4002,0.461,0.272,0.9,77,30,48.5,0.0,0.6794709,IT Services,HR Manager,2,5,0,0.72,30,False,12.2,0.1639344262295082,0.054644808743169404,0.21739130434782608,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0691256830601093,elite,,,
CAND_0053507,14.7,0.3,5,0.5556,0.2,2,1,0.0,0,0.0,0.4,0.413,0.3108,0.792,0.1768,0.4,227,120,1.7,40.0,0.6789568,Manufacturing,Project Manager,3,7,0,0.29,120,True,14.7,0.20408163265306123,0.06802721088435375,0.30434782608695654,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.12380952380952381,elite,,,
